"name","category_count","avg_view_count"
"스틸로","10","85751.50"
"신해조","9","182931.83"
"코뚱잉","9","214739.34"
"PAKA","8","765685.42"
"피닉스박","7","108710.12"
"소행성612","7","41520.55"
"윤가놈","6","24614.08"
"명훈","6","157310.44"
"인섹","6","62794.13"
"모아요","6","509630.22"
"꼴랑이","5","11320.10"
"순규박","5","15248.27"
"한동숙","5","93368.69"
"종원TV","4","19954.41"
"김용녀","4","32016.89"
"랄로","4","1465619.62"
"링규링규링","4","72451.89"
"멀럭킹","4","1486.03"
"삐야기","4","191795.90"
"아빠킹","4","87146.67"
"흐쟁이","3","30380.42"
"막눈","3","23262.77"
"류제홍","3","67734.89"
"이재석","3","98903.80"
"이석현","3","103317.90"
"이클리피아","2","12047.87"
"후즈","2","318.91"
"송사리","2","18515.26"
"냄새","2","141091.29"
"김데데","2","102801.04"
"괴물쥐","2","809671.25"
"고수달","2","33200.28"
"제갈병춘","2","361041.11"
"죠니월드","2","158614.74"
"지명","2","60357.98"
"추털이","2","136775.98"
"강인경","2","104694.46"
"핑맨","2","237300.61"
"학살","2","123502.53"
"른쿄","2","2390.33"
"ATK","2","49253.82"
"전쓰트","1","210654.40"
"정동글","1","43213.28"
"프로젝트롤","1","15077.42"
"버니버니","1","199439.55"
"블루위키","1","359256.45"
"2수연","1","6673.51"
"도개","1","22197.61"
"THIRD","1","329709.45"
"돌카사","1","2464.48"
"스나랑","1","34049.44"
"꼬예유","1","137690.42"
"지보배","1","29309.87"
"미야","1","281772.25"
"핑크자크","1","4762.69"
"미남홀란드","1","224364.20"
"모양몬","1","120727.96"
"헤이스트","1","86261.03"
"또시","1","8882.64"
