"name","published_day","avg_view_count"
"2수연","Tuesday","7766.33"
"2수연","Friday","6877.49"
"2수연","Monday","6736.19"
"2수연","Sunday","6707.64"
"2수연","Wednesday","6594.40"
"2수연","Saturday","5997.14"
"2수연","Thursday","5939.38"
"ATK","Friday","52258.90"
"ATK","Sunday","51327.00"
"ATK","Monday","50941.25"
"ATK","Tuesday","50899.39"
"ATK","Saturday","48373.82"
"ATK","Wednesday","48260.21"
"ATK","Thursday","43787.40"
"PAKA","Friday","798052.06"
"PAKA","Monday","787412.24"
"PAKA","Saturday","769371.59"
"PAKA","Sunday","768871.90"
"PAKA","Wednesday","759594.71"
"PAKA","Thursday","745411.60"
"PAKA","Tuesday","736115.25"
"THIRD","Friday","410197.07"
"THIRD","Monday","365025.74"
"THIRD","Thursday","362938.08"
"THIRD","Sunday","362603.08"
"THIRD","Saturday","322117.99"
"THIRD","Tuesday","265216.40"
"THIRD","Wednesday","264621.21"
"강인경","Tuesday","158512.74"
"강인경","Monday","145007.83"
"강인경","Wednesday","105972.38"
"강인경","Thursday","103803.33"
"강인경","Saturday","93240.64"
"강인경","Friday","79780.27"
"강인경","Sunday","60732.90"
"고수달","Sunday","43583.50"
"고수달","Monday","35351.83"
"고수달","Saturday","34973.79"
"고수달","Tuesday","33152.71"
"고수달","Thursday","31428.75"
"고수달","Wednesday","27830.14"
"고수달","Friday","24662.22"
"괴물쥐","Tuesday","857227.44"
"괴물쥐","Sunday","829654.44"
"괴물쥐","Saturday","811587.35"
"괴물쥐","Friday","809577.20"
"괴물쥐","Thursday","793109.84"
"괴물쥐","Wednesday","788496.45"
"괴물쥐","Monday","784384.99"
"김데데","Saturday","120662.91"
"김데데","Sunday","117629.04"
"김데데","Wednesday","117051.05"
"김데데","Thursday","108074.40"
"김데데","Monday","91512.90"
"김데데","Tuesday","88918.63"
"김데데","Friday","74833.85"
"김용녀","Saturday","38751.77"
"김용녀","Friday","36865.26"
"김용녀","Sunday","35526.24"
"김용녀","Monday","31083.05"
"김용녀","Thursday","27084.27"
"김용녀","Wednesday","25748.26"
"김용녀","Tuesday","24486.06"
"꼬예유","Friday","153048.97"
"꼬예유","Tuesday","152159.97"
"꼬예유","Sunday","146114.25"
"꼬예유","Monday","135249.30"
"꼬예유","Thursday","132114.26"
"꼬예유","Wednesday","131219.80"
"꼬예유","Saturday","118135.49"
"꼴랑이","Thursday","29986.31"
"꼴랑이","Tuesday","9191.96"
"꼴랑이","Saturday","8662.00"
"꼴랑이","Friday","8518.30"
"꼴랑이","Wednesday","8326.23"
"꼴랑이","Monday","8019.72"
"꼴랑이","Sunday","6697.43"
"냄새","Sunday","168003.15"
"냄새","Saturday","146357.84"
"냄새","Friday","145575.18"
"냄새","Tuesday","137167.36"
"냄새","Wednesday","136009.06"
"냄새","Thursday","126591.49"
"냄새","Monday","126420.33"
"도개","Saturday","71387.67"
"도개","Thursday","58425.60"
"도개","Friday","863.67"
"도개","Monday","566.43"
"도개","Tuesday","530.00"
"도개","Wednesday","461.50"
"도개","Sunday","386.25"
"돌카사","Tuesday","3439.30"
"돌카사","Sunday","2672.52"
"돌카사","Monday","2563.08"
"돌카사","Saturday","2356.63"
"돌카사","Wednesday","2347.03"
"돌카사","Thursday","2022.46"
"돌카사","Friday","1998.78"
"또시","Monday","29230.27"
"또시","Thursday","12925.34"
"또시","Sunday","6059.35"
"또시","Tuesday","4548.82"
"또시","Wednesday","4091.36"
"또시","Saturday","3258.17"
"또시","Friday","3200.10"
"랄로","Friday","1743494.18"
"랄로","Saturday","1706050.07"
"랄로","Wednesday","1458537.06"
"랄로","Thursday","1432564.91"
"랄로","Tuesday","1412191.54"
"랄로","Sunday","1306927.37"
"랄로","Monday","1258918.69"
"류제홍","Thursday","79905.77"
"류제홍","Saturday","73201.06"
"류제홍","Tuesday","71409.01"
"류제홍","Friday","65284.67"
"류제홍","Monday","62995.12"
"류제홍","Wednesday","62933.44"
"류제홍","Sunday","59308.33"
"른쿄","Saturday","2658.07"
"른쿄","Friday","2525.55"
"른쿄","Tuesday","2467.11"
"른쿄","Sunday","2460.23"
"른쿄","Thursday","2348.95"
"른쿄","Wednesday","2245.77"
"른쿄","Monday","2109.26"
"링규링규링","Monday","78888.74"
"링규링규링","Sunday","76239.19"
"링규링규링","Friday","75117.32"
"링규링규링","Tuesday","71990.53"
"링규링규링","Wednesday","71510.03"
"링규링규링","Thursday","68002.44"
"링규링규링","Saturday","65901.92"
"막눈","Friday","36994.40"
"막눈","Thursday","31513.67"
"막눈","Tuesday","20749.75"
"막눈","Wednesday","19937.61"
"막눈","Monday","19480.06"
"막눈","Saturday","17888.68"
"막눈","Sunday","17700.56"
"멀럭킹","Wednesday","1820.58"
"멀럭킹","Sunday","1662.77"
"멀럭킹","Monday","1525.64"
"멀럭킹","Thursday","1424.11"
"멀럭킹","Saturday","1361.06"
"멀럭킹","Friday","1285.21"
"멀럭킹","Tuesday","1280.66"
"명훈","Sunday","169680.59"
"명훈","Saturday","168760.13"
"명훈","Thursday","161957.93"
"명훈","Tuesday","161761.68"
"명훈","Wednesday","155367.31"
"명훈","Monday","148349.59"
"명훈","Friday","131260.84"
"모아요","Saturday","684003.43"
"모아요","Sunday","604024.32"
"모아요","Tuesday","405972.38"
"모아요","Wednesday","336858.98"
"모아요","Monday","299766.54"
"모아요","Friday","285498.40"
"모아요","Thursday","284255.67"
