"content_type","category_name","avg_view_count"
"shorts","Sports","609407.17"
"shorts","Music","508857.00"
"shorts","Comedy","440451.95"
"shorts","Gaming","250946.28"
"shorts","Entertainment","223477.98"
"shorts","Film & Animation","219457.93"
"shorts","People & Blogs","183039.63"
"shorts","Education","63425.44"
"shorts","Pets & Animals","26173.25"
"shorts","News & Politics","15296.50"
"shorts","Travel & Events","6591.14"
"shorts","Science & Technology","721.00"
"video","Film & Animation","746001.47"
"video","Music","321049.79"
"video","Entertainment","283206.51"
"video","Science & Technology","262471.25"
"video","Sports","235645.81"
"video","Comedy","202581.59"
"video","Howto & Style","174697.10"
"video","News & Politics","103788.00"
"video","Gaming","100770.91"
"video","Pets & Animals","78090.97"
"video","People & Blogs","63649.19"
"video","Travel & Events","51214.33"
"video","Education","30421.65"
"video","Autos & Vehicles","139.17"
