"category_name","video_length","avg_view_count"
"Film & Animation","short","323899.00"
"Comedy","short","286777.91"
"Entertainment","short","203888.35"
"Howto & Style","short","159493.00"
"Sports","short","106752.23"
"Travel & Events","short","100635.00"
"Music","short","71944.67"
"People & Blogs","short","71247.83"
"Pets & Animals","short","67363.92"
"Gaming","short","65362.02"
"Education","short","53879.83"
"Science & Technology","short","35120.00"
"Film & Animation","medium","812569.27"
"Entertainment","medium","497133.68"
"Sports","medium","284008.26"
"Comedy","medium","263722.04"
"Howto & Style","medium","191175.57"
"Music","medium","188738.80"
"Science & Technology","medium","151076.00"
"Gaming","medium","131816.12"
"People & Blogs","medium","125582.28"
"News & Politics","medium","103788.00"
"Pets & Animals","medium","93888.03"
"Travel & Events","medium","54919.86"
"Education","medium","27621.11"
"Autos & Vehicles","medium","106.50"
"Film & Animation","long","2393578.00"
"Science & Technology","long","1603775.00"
"Music","long","449128.91"
"Sports","long","233938.90"
"Comedy","long","129896.47"
"Gaming","long","70059.11"
"Entertainment","long","56716.20"
"Howto & Style","long","49153.00"
"Pets & Animals","long","44949.00"
"People & Blogs","long","32710.20"
"Travel & Events","long","17448.33"
"Education","long","14070.67"
"Autos & Vehicles","long","143.25"
